Description,Date,Attende,Location,Project,Access,Agenda Type,Category,Duration,Meet Type,Notes,Project Link
"Internal Meeting - FOUFO Production Design, Strategy & Goals","1/14/2025, 3:00:00 PM",,Skak Studios,Foufo,bod,Meeting,Pre Production,1 Jam,,"Chairperson :
Ricky S. Setyawan - Producer

Attendees :
1. Bayu Skak - Director
2. Henny Myranda - Producer
3. Achmad Rofiq - Producer
4. Anggra - Production Asst

PEMBAHASAN :
- Listing key crew untuk diajukan dengan prioritas awal yaitu Internal, DOP, Art, Casting, Make Up.

- Foufo membutuhkan Co-Director yang memiliki skill visual kuat untuk mendukung transisi Director karena saat preps Film FOUFO, Mas Bayu sedang shooting Sekawan Limo 2. Mas Bayu merekomendasikan Yogi Supra sebagai Co-Director (sementara tetap mencari opsi lain) dan Astrada: Zacky.

- Shooting real di Surabaya akan dipisah dengan shooting studio CGI di Jakarta. Estimasi durasi shooting CGI: 3-4 hari.

- Perlu menghitung opsi budget untuk keseluruhan produksi.

TINDAK LANJUT :
- Menyusun daftar nama crew untuk diajukan.
- Melakukan pencarian Key Crew dan evaluasi kandidat.
- Follow up untuk contact Yogi dan Zacky.
- Setelah Script Draft 1 selesai, baru bisa mulai penghitungan untuk opsi budget.

Minutes Prepared by :
Ang.


",
Production Meeting - Line Producer 1st Meet,"1/22/2025, 8:00:00 PM","Ricky,Bayu",Kantor SKAK Studios,Foufo,"bod,partner",Meeting,Pre Production,-,,"Chairperson:
Ricky R. Setyawan - Producer

Attendees:
Bayu Skak - Director
Rini Atmodjo - Line Producer
Anggra - Production Asst

PEMBAHASAN :
1. Timeline Produksi FOUFO
2. Pengrecruitan crew produksi

INFO TAMBAHAN DARI LP :
1. Untuk DOP jika ada tambahan budget jika ada extra hour maka diakumulaikan perminggu
2. Beberapa PH tidak lagi membayar perdiem shooting crew di luar kota.

KEPUTUSAN :
1. Mba Rini akan aktif setelah draft 1 selesai.
2. Rekomendasi pengrecruit-an crew tunggu draft 3-4 selesai
3. Rencana pihak Skak ketemu dengan Make Up, Art dan Casting awal Februari sebelum Mba Rini
shooting ke Makasar.
4. Skak Studios tidak menghilangkan perdiem, namun hanya membatasi nominalnya saja.

Minutes Prepared by:
Ang.",
Production Meeting - Project Update with Sinemart,"2/5/2025, 11:30:00 AM",,SCTV Tower,Foufo,"bod,partner",Meeting,Pre Production,1 jam,Offline,"Attd:
SKAK Studios: Ricky, Bayu
Sinemart: Pak David, Bu Lili, Bu Elminah, Adri

Foufo:
1. Update progress development (alien dan UFO)
2. Update project dashboard
3. Shooting day 1 akan di mulai di 24 Mei 2025
4. Target release di November 2025

Expedisi:
1. Penulisan akan dilakukan paralel dengan Foufo
2. Target shooting day 1 adalah di September 2025",
Meeting Promo Cocote Tonggo,"2/6/2025, 1:00:00 PM","Ricky,Henny",Kantor Tobali - CEO Building,Cocote Tonggo,bod,Meeting,,1 jam,Offline,"1. Mencari Campaign Manager
2. List semua asset promosi (cast reveal, poster, teaser, trailer, data pemain yg bisa ikut campaign, kota tour)
3. Cari semua source opsi promosi (slot sebelum film, bioskop tenant display, etc)",
Development Meeting - Sinopsis Update,"2/7/2025, 4:00:00 PM",,Skak Studios,Foufo,"bod,team,partner",Meeting,IP Development,1 jam 30 menit,Offline,"Attendees :
Ricky S. Setiyawan - Producer
Bayu Skak - Director
Ichol - Writer

Pembahasan :
Membahas Sinopsis Foufo

Catatan :
Mas Bayu:
- Elemen ""viral tetangga"" dihilangkan, cerita lebih berfokus dalam rumah.

- Muslim bertanggung jawab karena telah mendapat sertifikat.

- Semua karakter memberikan masalah, seperti permasalahan keuangan.

- Toni muncul di awal cerita dan meminta untuk carok.

- Keberangkatan haji harus jelas, termasuk hukumnya dan mekanismenya.

- Foufo mencari bahan bakar untuk segera pulang.

Mas Rofiq:
- Desain audience harus dipertimbangkan dengan baik. Jika ingin karakter memiliki potensi merc, maka harus didesain viral dan tidak hanya bermain di lingkungan rumah.

Mas Ricky:
- Muslim memiliki motif kuat untuk memberangkatkan haji orang tuanya karena dia tidak lulus SMP dan dianggap bodoh di kelas. Keberangkatan haji menjadi kebanggaan serta pembuktiannya.

- Foufo mencari kunci yang hilang dan bahan untuk menyalakan sekoci.

- Keris warisan bapaknya menjadi kunci utama karena bahan keris sama dengan bahan yang dibutuhkan.

Action Items:
Deadline revisi sinopsis: 10 Februari 2025
Penanggung jawab revisi sinopsis: Ichol

Minutes Prepared by:
Ang.

",
Concept Design - Model Sheet Charachter FOUFO Final Draft,"2/7/2025, 9:00:00 PM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,-,Online,Draft Final Karakter FOUFO dengan ditambahi visual untuk kondisi menggunakan kekuatan dan Ketika K.O,
Concept Design - Wriswatch Draft 1,"2/10/2025, 4:24:00 PM","Ricky,Rofiq,Mahes",Whatsapp,Foufo,"bod,team,partner",Meeting,IP Development,-,Online,-,
Development Meeting - Synopsis Draft 1,"2/10/2025, 5:00:00 PM",,Skak Studios,Foufo,"bod,team,partner",Meeting,IP Development,2 Jam,Offline,"Attendees : :
Ricky S. Setiyawan - Producer
Bayu Skak - Director
Ichol - Writer

Pembahasan :
Revisi Sinopsis Foufo 

Poin Highlight :
- Rahmat membanting-banting kunci Foufo hingga terpotong 

- SEQ 2 : Setelah menyedot Toni, kunci poklek/rusak karena dibuat mainan adiknya mainan sampe putus. Dilas sama muslim namun tidak bisa. 

- Foufo diterima karena membantu ibu diselamatkan karena berhasil menyembuhkan katarak.

- Mustofa orang jenius tapi baju seragam putih biru, hingga kuning. makanya dia di bully.

- Muslim membawa keris untuk dijual  Toni,  Foufo mengetahui bahan tersebut bisa digunakan sebagai pengganti kunci.

- Muslim gagal memberangkatkan haji ada di big problem.

- Kholil Mantan tukang servis berperan menjadi tukang las sekoci dan solder (namanya akan diganti)

- Penjelasan karakter anak Kholil dan Shanaz : 
1. Mustofa  Udah SMP Mempunyai Laptop dari menang olimpiade dapet laptop tapi di bully karena bajunya kuning.

2. Aqeela gemar bermain game. Di ending Aqeela akan memberikan lampu belajar ke Foufo (referensi : Tiktok Lampu Sekoci)

3. Rahmat (TK) yang merusak kunci alien.

- Syaikhona Ibu muslim memberikan barang berharga kipas Kipas angin

Action Items :
Deadline revisi sinopsis 2 : 11 Februari 2025
Penanggung Jawab revisi sinopsis : Ichol

Minutes Prepared by :
Ang",
Development Meeting - Sinopsis Draft 2,"2/12/2025, 3:00:00 PM",,Zoom Meet,Foufo,"bod,team",Meeting,IP Development,1 Jam,Online,"Attendees :
Achmad Rofiq
Achmad Faishol

Pembahasan :

- Memperjelas hirarki bisnis besi :
1. pemulung > pengepul > tengkulak
2. muslim ini pemulung apa pengepul?suoerhero itu harus ada villain yg kuat
3. tapi kacong yg tricky dan manipulatif udah ok sih, bikin lebih jengkelin lagi. Misal dari awal udah nakut nakuti kalo gak dibayar, ya aku siarkan
4. audiens design :
    •⁠  ⁠penonton takut viral
    •⁠  ⁠⁠penonton takut foufo mati
    •⁠  ⁠⁠penonton takut saiqonah gak jadi brgkt haji
    •⁠  ⁠⁠penonton takut muslim putus asa
    •⁠  ⁠⁠penonton ingin keluarga yg lain tau diri
    •⁠  ⁠⁠penonton ingin kacong menyesal  

- Problem tiba-tiba berangkat.
Solusi mas rofiq: memberikan highlight kekuatan diplomasi antar negara untuk membangun logika proses keberangkatan haji. Catatan penguat bisa dengan menggunakan dialog dengan pihak yang memberikan visa.

- Universe cerita harus dibangun dengan sangat polos. Penuh lompatan-lompatan logika. Opsi pelunasan kurang polos dan lugu. Idealnya, harus lebih polos, dengan cara mendaftar dengan anggapan bisa berangkat setelah daftar.

Poin kurs dollar naik kurang kuat karena bunga bersifat fluktuatif. Harga di awal biasanya termasuk risiko kenaikan bunga. Hal ini membuat poin kurs dollar naik kurang kuat.

Dengan demikian, perlu untuk mendesain logika karakter keluarga Muslim untuk dibuat lugu.

Proses pencarian utangan untuk daftar haji di tampilkan sejak awal. Hal ini akan menciptakan dua segmen penonton di sequence fake victory: penonton yang paham kalau tidak akan bisa secara langung berangkat, dan yang tidak paham. Kedua segmen penonton ini akan menciptakan respons berdasarkan pengetahuan masing-masing.

Setelah momen respons inilah, film ini masuk dengan narasi baru dengan kehadiran Foufo sebagai rezeki yang tidak disangka-sangka, yang bisa memberangkatkan haji.

Membuat beberapa versi alternatif untuk meyakinkan pihak terkait.
Alternatif 1 sinopsis sebelumnya. Alternatif 2 sinopsis terbaru. Alternatif 2, harus dibuat lugu dan mencari pinjaman untuk daftar haji (bukan untuk melunasi).

- Perlu memberikan hint-hint di setiap scene untuk tetap mengikat penonton sekaligus memuat universe cerita utuh.

- Keris bahan yang mirip dengan bahan alien cukup berisiko memerlukan penjelasan lebih jauh.

- Momentum unfimiliar situation, harus dirasakan oleh karakter sekaligus penonton.

- Untuk bisa menciptakan momen big problem yang kuat, harus menciptakan karakter polos.

- Karakter Foufo harus memiliki journey dengan keluarganya, agar bisa membangkitkan simpati penonton. Hal ini menjadi kekuatan ketika dikaitkan dengan konflik keluarga muslim.

- Setiap ide tawaran idealnya harus tetap berpacu pada arketip karakter masing-masing.

Item Action :
- Langkah terdekat, lengkapi poin haji. Perlu diubah mekanisme proses pendaftaran haji dan logika keberangkatan haji.
- Scene plot diprioritaskan setelah sinopsis disepakati.
- Hirarki pengepul harus jelas. Muslim harus jelas berada di posisi herarki yang mana.

Minutes prepared by :
Ang
",
Concept Design Update -  Brainstrom Story & Concept Design,"2/14/2025, 1:00:00 PM",,Skak Studios,Foufo,"bod,team,partner",Meeting,IP Development,2 Jam,"Online,Offline","Attendees :
Mas Ricky
Mas Rofiq (Online goggle meet)
Ichol
Anggra
Fadel Raihan (designer)
_________________________________________

PEMBAHASAN : 

KONSEP UFO

- UFO yang dirakit memiliki keterkaitan dengan cerita utama.
- Pembahasan komponen yang diperlukan untuk merakit UFO.
- Diskusi mengenai bentuk kendaraan, termasuk rangka dan desain
- Warna awal UFO saat tiba di bumi adalah abu-abu, namun setelah dirakit oleh orang Madura berubah menjadi pink.
- Bagian depan akan dimodifikasi dengan beberapa alternatif desain.

MASUKAN DARI TEAM

1. Mas Ricky:
- Secara desain sudah cukup baik.
- Perlu riset lebih lanjut mengenai kapasitas pods.
- Desain tidak perlu terlalu sci-fi.

Perihal Art & Desain:
- Rangka dibuat satu, tetapi desain bodi ada 2 versi: versi original dan versi dirakit orang Madura.
- Interior dibuat minimalis karena akan banyak elemen hologram.
- Bentuk sekoci perlu diretouch agar tidak terlalu menyerupai kendaraan bumi.
- Bagian bawah kaki diberikan bantalan seperti dari ban agar bisa mendarat membel.
- Dilengkapi dengan lampu sein.

2. Ichol :
(Perihal Interior & Kunci) :
- Kunci interior berbentuk seperti keris peninggalan kakeknya Muslim.
- Karakter yang Menyumbang Part:
   1. Ibu Muslim: Kipas angin
   2. Mustofa: Laptop Asus
   3. Aqeela: Tablet game
   4. Shanaz: Blender

3. Mas Rofiq :

- Foufo datang dari luar angkasa, jadi yang harus di desain model bentuk dasar futuristik.

- Saat mau dirakit, ditambah-tambahin jadi kayak vespa (desain yang dirancang orang madura).

- Bahan untuk merakit sekoci menggunakan bahan-bahan dari barang sehari-hari, misalnya spion dari Honda, serta diberi pelat motor.

- Rangka versi 1 dan 2 tetap sama, hanya bodinya yang berbeda seperti konsep modifikasi mobil.

- Sekoci diberikan knalpot.

- Cari Potensial Cameo & Sponsor
Cameo: Om Mobie menyumbang turbo untuk sekoci.
Sponsor: Cat mobil dan salon detailing.

_________________________________________

DESAIN JAM
- Tidak menggunakan antena.
- Bentuk digital dengan kombinasi warna pink dan hijau.
- Fungsi:
   Indikator energi. Bisa mengeluarkan jurus (terkait karakter yang harus operasi katarak). Bisa berfungsi seperti USG untuk karakter Siti.

ITEM ACTION :
Deadline : Akhir Februari 2025

Minutes prepared by :
Ang.",
